Attack_ID,Attack_Type,Target_Industry,Location,Date,Severity,Damage_Estimate(USD),Affected_Systems
72,DDoS,Government,Brazil,2023-04-15,High,1585261,898
73,Brute Force Attack,E-commerce,Brazil,2024-10-04,Low,360344,888
74,Zero-day Exploit,E-commerce,India,2018-02-27,Medium,1288586,948
75,Brute Force Attack,Education,France,2021-10-12,Medium,2178299,299
76,Phishing,Technology,Germany,2017-12-13,High,3757769,465
77,SQL Injection,Education,China,2024-12-01,Medium,4175185,125
78,Malware,Retail,UK,2021-10-21,Low,4763832,670
79,SQL Injection,Retail,USA,2019-06-27,Critical,2998712,34
80,SQL Injection,Finance,China,2016-04-02,Low,3896311,321
81,Cross-site Scripting (XSS),Healthcare,France,2017-09-05,High,3829875,837
82,Cross-site Scripting (XSS),Government,South Korea,2021-02-17,High,3831937,572
83,Man-in-the-Middle,Government,France,2019-05-03,Critical,2011350,574
84,Zero-day Exploit,Energy,France,2017-03-15,High,4178905,860
85,DDoS,Healthcare,Germany,2020-07-21,Critical,1915124,638
86,Man-in-the-Middle,Energy,USA,2017-12-19,High,674775,918
87,Man-in-the-Middle,Telecommunications,France,2024-07-20,High,2544177,655
88,Cross-site Scripting (XSS),Defense,China,2020-01-13,High,4638937,43
89,Privilege Escalation,E-commerce,China,2024-12-09,Critical,3328068,434
90,Privilege Escalation,Telecommunications,France,2024-01-26,High,4501703,60
91,Man-in-the-Middle,Retail,France,2018-05-19,High,283239,961
92,DDoS,Defense,Brazil,2016-09-11,Low,296457,317
93,SQL Injection,Finance,China,2024-08-24,Low,2474723,564
94,SQL Injection,Healthcare,Russia,2022-03-18,Low,1347396,175
95,Brute Force Attack,Technology,India,2022-06-09,Critical,1528870,970
96,Man-in-the-Middle,Telecommunications,India,2016-04-05,Medium,3463693,507
97,SQL Injection,Finance,China,2016-12-09,Low,2248241,194
98,Cross-site Scripting (XSS),Education,South Korea,2024-08-23,Low,4801517,590
99,Privilege Escalation,Finance,Japan,2022-07-30,Critical,3597371,111
100,SQL Injection,Technology,Russia,2022-05-13,High,3126509,519
101,Man-in-the-Middle,Finance,Brazil,2017-11-23,Critical,1531607,766
102,Ransomware,Defense,UK,2020-09-12,Critical,2786675,603
103,Brute Force Attack,Defense,Germany,2016-05-19,Medium,1302485,981
104,DDoS,Technology,Japan,2018-10-12,Critical,1410221,45
105,Cross-site Scripting (XSS),E-commerce,France,2016-03-29,Low,2664745,96
106,Phishing,Defense,France,2024-02-04,Critical,4644234,539
107,Brute Force Attack,Defense,Germany,2015-12-17,Critical,910015,242
108,Man-in-the-Middle,Government,France,2021-03-24,Low,4117605,551
109,Cross-site Scripting (XSS),Education,USA,2017-06-17,Critical,3645579,301
110,Zero-day Exploit,Finance,South Korea,2017-07-06,Medium,3198149,606
111,Malware,Retail,Russia,2015-07-12,Low,1344784,810
112,Phishing,Technology,Germany,2016-03-25,High,2572869,30
113,Man-in-the-Middle,Defense,Germany,2021-10-24,Critical,4864513,471
114,Zero-day Exploit,Technology,Germany,2019-03-08,Critical,2464515,91
115,SQL Injection,Technology,India,2020-08-14,Medium,1431853,32
116,Ransomware,Defense,India,2019-11-30,Critical,2249596,197
117,Phishing,Government,Russia,2018-11-10,Medium,3539432,175
118,Zero-day Exploit,Education,France,2015-02-05,Medium,3597693,788
119,Privilege Escalation,Government,China,2019-08-16,Medium,1904059,434
120,Privilege Escalation,E-commerce,Russia,2019-10-18,Medium,368842,385
121,Phishing,Healthcare,UK,2023-09-29,Critical,4970950,936
122,Zero-day Exploit,Retail,China,2024-08-04,Low,854594,150
123,Cross-site Scripting (XSS),Education,Brazil,2022-06-10,Medium,1554251,97
124,Malware,Healthcare,China,2016-08-22,Medium,150221,685
125,Cross-site Scripting (XSS),Telecommunications,India,2024-01-08,Critical,1671019,976
126,Cross-site Scripting (XSS),Government,Japan,2021-02-27,Medium,4194777,45
127,Malware,Government,UK,2015-09-14,High,2988293,485
128,DDoS,E-commerce,China,2020-03-03,Medium,1489333,300
129,Malware,Government,UK,2023-10-14,Critical,923747,581
130,Man-in-the-Middle,Finance,China,2021-03-28,Critical,2221964,521
131,Zero-day Exploit,E-commerce,South Korea,2022-06-11,Critical,4535706,876
132,Ransomware,E-commerce,Germany,2016-08-31,Low,308363,74
133,Malware,Government,Japan,2020-12-12,High,2385890,595
134,Zero-day Exploit,Retail,Brazil,2021-05-09,Critical,568160,899
135,Phishing,Defense,India,2021-04-23,High,621505,669
136,Ransomware,Healthcare,South Korea,2022-10-06,Critical,423006,515
137,Ransomware,E-commerce,Germany,2021-07-01,High,1207318,609
138,Privilege Escalation,E-commerce,France,2016-12-03,Medium,2364518,875
139,Privilege Escalation,Telecommunications,Brazil,2015-11-29,High,2735849,102
140,Man-in-the-Middle,Energy,China,2022-03-27,Low,349860,350
141,Privilege Escalation,Government,UK,2015-06-29,High,90853,27
142,Cross-site Scripting (XSS),Technology,USA,2017-08-06,Low,1377230,157
143,SQL Injection,Defense,Japan,2016-07-05,Low,697892,384
144,DDoS,Technology,South Korea,2019-06-03,High,4530024,353
145,Privilege Escalation,Defense,Russia,2020-03-30,High,3354964,734
146,SQL Injection,Finance,Germany,2017-06-14,High,3920627,502
147,Brute Force Attack,Education,UK,2023-10-14,Low,2496997,41
148,Zero-day Exploit,Telecommunications,USA,2021-04-08,High,2680964,433
149,Zero-day Exploit,Telecommunications,USA,2021-08-30,Low,1482018,92
150,Brute Force Attack,Telecommunications,China,2017-04-16,Critical,2395042,950
151,Ransomware,Defense,Brazil,2018-03-28,Critical,2454131,887
152,Ransomware,E-commerce,UK,2015-06-09,Critical,4612033,344
153,Malware,Energy,France,2017-04-06,Low,194887,694
154,Man-in-the-Middle,Energy,South Korea,2019-06-02,Medium,82988,411
155,Brute Force Attack,Energy,China,2018-03-16,Low,2061233,397
156,Privilege Escalation,Telecommunications,France,2017-11-11,Medium,3228231,64
157,Privilege Escalation,Education,India,2023-10-29,High,1994898,944
158,Phishing,Education,UK,2016-10-05,High,1138598,850
159,DDoS,Retail,South Korea,2022-12-10,Medium,2187781,522
160,Cross-site Scripting (XSS),E-commerce,Brazil,2022-01-24,Medium,1199894,154
161,DDoS,Energy,Germany,2024-05-11,Critical,903207,450
162,Privilege Escalation,Retail,USA,2019-07-07,Medium,3918075,198
163,Brute Force Attack,E-commerce,China,2016-02-29,Low,3946487,815
164,Privilege Escalation,Energy,France,2022-04-26,High,2111183,874
165,Zero-day Exploit,Healthcare,USA,2018-12-13,Medium,2572183,738
166,Phishing,Healthcare,Russia,2015-02-05,Critical,4483971,683
167,SQL Injection,Retail,UK,2015-03-17,Critical,409119,573
168,Cross-site Scripting (XSS),Retail,UK,2018-08-30,Low,2743199,397
169,Zero-day Exploit,Technology,Brazil,2023-06-08,Low,4655794,381
170,SQL Injection,Government,India,2015-04-18,Critical,1359747,329
171,Privilege Escalation,Healthcare,South Korea,2022-07-29,Low,3260825,76
172,Cross-site Scripting (XSS),Government,France,2016-08-22,High,4153483,565
173,Brute Force Attack,E-commerce,UK,2019-04-26,Critical,2646006,724
174,DDoS,Healthcare,UK,2021-06-22,High,1485630,104
175,Cross-site Scripting (XSS),Defense,France,2023-10-03,Critical,833877,442
176,Man-in-the-Middle,Energy,USA,2020-11-26,Medium,2161085,561
177,Privilege Escalation,Defense,France,2016-04-22,High,2627169,304
178,DDoS,Energy,France,2020-11-15,Critical,1902977,335
179,Phishing,Defense,China,2015-12-26,Critical,4342364,122
180,Cross-site Scripting (XSS),Defense,France,2022-08-04,High,883299,97
181,Ransomware,Telecommunications,France,2024-07-16,Low,4533468,196
182,Phishing,Technology,Germany,2016-09-24,High,1100981,3
183,DDoS,Defense,Russia,2019-06-11,Medium,3677849,604
184,Cross-site Scripting (XSS),Retail,UK,2022-03-13,High,272755,76
185,Cross-site Scripting (XSS),Retail,France,2021-03-31,Medium,1786272,729
186,Brute Force Attack,Education,Germany,2019-05-17,Critical,3069930,567
187,Phishing,Retail,USA,2021-08-01,Low,1109190,346
188,Brute Force Attack,Healthcare,Russia,2017-06-29,Low,3906499,347
189,Phishing,Defense,Russia,2018-03-13,High,3684288,753
190,SQL Injection,Defense,UK,2021-07-19,Medium,2370003,979
191,Phishing,Energy,USA,2022-01-12,High,1511988,769
192,SQL Injection,Energy,South Korea,2015-07-28,Low,4393940,234
193,Cross-site Scripting (XSS),Technology,Japan,2018-01-14,Medium,3839011,123
194,SQL Injection,Energy,South Korea,2023-05-26,Medium,239356,122
195,Brute Force Attack,E-commerce,France,2016-07-25,High,4963709,435
196,Ransomware,Healthcare,China,2018-08-11,Critical,3102964,401
197,Ransomware,Technology,Russia,2017-02-11,Low,549381,668
198,Malware,Healthcare,Germany,2024-08-15,Low,4470110,475
199,Man-in-the-Middle,Education,Japan,2019-04-02,Low,936778,916
200,Cross-site Scripting (XSS),E-commerce,Germany,2016-02-03,Critical,1785778,936
201,Ransomware,Healthcare,Germany,2018-07-13,High,3258376,940
202,Ransomware,Healthcare,South Korea,2021-03-21,Medium,1266932,524
203,Cross-site Scripting (XSS),Retail,Brazil,2020-09-12,Low,3588350,871
204,Privilege Escalation,Finance,India,2015-11-25,Low,1360107,990
205,Malware,Energy,Japan,2017-08-01,Critical,1724808,648
206,SQL Injection,Healthcare,Brazil,2022-05-31,Low,3938125,65
207,Brute Force Attack,Finance,Japan,2018-09-12,Critical,4924375,400
208,SQL Injection,Retail,Germany,2022-05-23,Low,4647687,704
209,Malware,Healthcare,Russia,2023-11-09,Critical,2381165,328
210,Malware,Education,Brazil,2021-05-24,Low,3455887,967
211,Phishing,Technology,China,2020-11-28,High,1372398,989
212,SQL Injection,Telecommunications,Brazil,2017-01-23,Critical,1836980,972
213,Privilege Escalation,Retail,UK,2018-07-08,Low,2535987,16
214,Zero-day Exploit,Technology,China,2017-09-06,Medium,209052,452
215,Brute Force Attack,Telecommunications,Russia,2023-07-26,Low,3285944,471
216,Phishing,Telecommunications,South Korea,2016-05-29,Critical,3857900,747
217,Ransomware,E-commerce,Russia,2017-07-26,Low,22119,320
218,Brute Force Attack,Energy,USA,2024-01-18,Low,312868,439
219,Man-in-the-Middle,Energy,USA,2023-03-29,Critical,2768817,297
220,Ransomware,Healthcare,USA,2023-06-11,Low,2833854,314
221,Brute Force Attack,Healthcare,Brazil,2017-11-28,Medium,1260656,580
222,Malware,Healthcare,Brazil,2020-09-17,High,3980565,457
223,Malware,Telecommunications,USA,2024-04-04,Critical,4366791,208
224,Privilege Escalation,Education,India,2016-01-22,High,942774,367
225,Ransomware,E-commerce,UK,2017-07-03,High,3495205,224
226,Man-in-the-Middle,Government,India,2020-05-12,Critical,2915855,748
227,Privilege Escalation,Healthcare,France,2017-01-25,Critical,3290044,558
228,Privilege Escalation,Healthcare,UK,2015-05-24,Low,4411492,607
229,DDoS,Finance,India,2015-09-13,Low,327301,358
230,Ransomware,Defense,Brazil,2017-06-08,Medium,793722,876
231,Cross-site Scripting (XSS),Government,Russia,2024-08-31,Critical,4071392,378
232,Man-in-the-Middle,Energy,Japan,2019-05-10,High,407132,291
233,Phishing,Energy,USA,2018-01-16,Medium,2084242,278
234,SQL Injection,Telecommunications,China,2018-04-06,Medium,4640121,855
235,Malware,Government,Russia,2023-10-06,Low,2781672,890
236,Man-in-the-Middle,Education,Japan,2019-04-13,Low,2014303,453
237,DDoS,Healthcare,Brazil,2019-03-18,High,4930425,435
238,Privilege Escalation,Energy,UK,2015-04-19,Low,1578849,219
239,Ransomware,Energy,Germany,2024-06-01,Medium,4374239,720
240,DDoS,E-commerce,UK,2020-01-01,Critical,2707195,668
241,SQL Injection,Finance,Russia,2021-02-18,Low,2138005,443
242,Brute Force Attack,Energy,Russia,2024-09-25,High,3276997,969
243,Malware,Technology,USA,2023-06-04,Critical,2315560,641
244,Phishing,Government,Russia,2015-03-15,Critical,4824979,57
245,Phishing,Finance,Japan,2022-02-27,Medium,2799714,920
246,Man-in-the-Middle,Technology,USA,2022-04-30,Medium,2446391,864
247,Malware,Healthcare,China,2017-03-14,Critical,4193221,377
248,Phishing,Government,Russia,2019-05-23,Medium,1422895,46
249,Privilege Escalation,Retail,Brazil,2023-11-06,Medium,4615902,874
250,Malware,Finance,Brazil,2023-03-09,Medium,1709102,295
251,Privilege Escalation,Education,China,2020-01-09,Medium,2668744,376
252,Man-in-the-Middle,E-commerce,Brazil,2024-10-05,Critical,3475165,751
253,Man-in-the-Middle,Telecommunications,Brazil,2016-03-31,Low,4975957,493
254,Privilege Escalation,Healthcare,USA,2022-01-20,High,4341870,842
255,DDoS,Healthcare,Japan,2019-09-15,Low,4919420,465
256,Phishing,Finance,Brazil,2019-07-06,High,2168200,490
257,Zero-day Exploit,E-commerce,Japan,2018-12-20,Low,2116418,60
258,Phishing,Healthcare,Germany,2015-03-17,High,2694068,703
259,Man-in-the-Middle,Education,USA,2022-12-30,High,3820811,794
260,Ransomware,E-commerce,Russia,2018-05-26,Critical,4264166,623
261,Privilege Escalation,Technology,South Korea,2024-05-29,High,2515235,476
262,Malware,Telecommunications,Japan,2021-09-15,High,1729377,423
263,Malware,Energy,USA,2021-04-30,High,3866428,245
264,SQL Injection,Retail,France,2023-10-06,Low,3191248,815
265,SQL Injection,E-commerce,South Korea,2016-06-01,Medium,41014,534
266,Ransomware,Defense,China,2015-09-09,Medium,2568201,407
267,Zero-day Exploit,Government,Russia,2023-03-13,Medium,3271643,335
268,Zero-day Exploit,Retail,South Korea,2021-12-21,Low,233613,65
269,Man-in-the-Middle,Defense,USA,2021-05-03,Medium,3127862,153
270,Ransomware,Healthcare,Brazil,2022-04-04,Critical,4761465,866
271,Phishing,Telecommunications,China,2022-05-22,Critical,2915275,418
272,DDoS,Defense,China,2021-08-09,Medium,4916056,270
273,DDoS,Government,USA,2017-08-18,Critical,3647454,170
274,Phishing,Retail,India,2019-05-20,Low,3319500,600
275,DDoS,Technology,Germany,2020-05-05,High,28001,833
276,Brute Force Attack,Telecommunications,South Korea,2020-03-19,Critical,288493,318
277,Man-in-the-Middle,Healthcare,India,2022-05-13,Low,3108425,587
278,Privilege Escalation,Telecommunications,Germany,2021-10-25,Medium,4670943,130
279,Phishing,Energy,France,2023-06-09,Low,2659138,725
280,DDoS,Defense,South Korea,2016-03-31,High,705200,368
281,Cross-site Scripting (XSS),Government,South Korea,2023-05-24,Medium,1249860,746
282,Privilege Escalation,Retail,Russia,2016-05-26,Medium,3685520,321
283,Ransomware,Government,Germany,2019-04-05,High,1944852,192
284,Malware,Finance,UK,2024-08-10,Medium,1748411,130
285,SQL Injection,Education,China,2024-12-11,High,424227,215
286,Phishing,Technology,India,2020-02-15,Critical,165117,46
287,Phishing,Finance,France,2015-07-07,High,83555,727
288,DDoS,Finance,Brazil,2023-04-19,Critical,786975,456
289,Phishing,Defense,China,2016-11-28,Medium,4598939,691
290,DDoS,Telecommunications,Japan,2015-12-13,Low,2153513,793
291,Phishing,E-commerce,France,2020-08-17,Medium,3997617,577
292,SQL Injection,Technology,Russia,2016-10-18,Low,2852959,730
293,Man-in-the-Middle,Education,Russia,2017-02-05,High,1372279,449
294,Man-in-the-Middle,Education,Japan,2022-12-05,Critical,373716,995
295,Phishing,Technology,Russia,2017-12-04,Low,446420,931
296,Malware,Education,Germany,2024-12-24,Critical,2151386,254
297,DDoS,Retail,China,2024-05-01,Medium,2350664,230
298,Zero-day Exploit,Technology,South Korea,2021-03-17,Critical,917287,446
299,DDoS,Defense,Japan,2022-11-26,High,772496,494
300,Brute Force Attack,Retail,UK,2015-02-12,Critical,679838,548
301,Phishing,Education,UK,2020-02-14,Critical,4591204,848
302,DDoS,Finance,USA,2018-10-21,Medium,1516924,796
303,Brute Force Attack,Energy,Russia,2015-09-21,Critical,3156285,932
304,Zero-day Exploit,Finance,USA,2019-06-21,High,2892502,80
305,Cross-site Scripting (XSS),Energy,South Korea,2016-04-20,Medium,1889489,960
306,SQL Injection,Defense,UK,2021-10-26,High,1554605,160
307,SQL Injection,Energy,Russia,2021-07-16,Critical,3801936,256
308,Privilege Escalation,Energy,USA,2020-08-30,High,2695176,339
309,Man-in-the-Middle,Retail,USA,2016-08-25,High,4613562,47
310,Malware,E-commerce,USA,2020-04-06,High,2991526,531
311,Man-in-the-Middle,Government,Germany,2024-05-27,Critical,4734184,462
312,Phishing,Technology,France,2016-05-27,Critical,1759043,568
313,SQL Injection,Technology,Japan,2016-10-19,Critical,2963746,362
314,Brute Force Attack,Telecommunications,Brazil,2024-03-20,Medium,4576972,138
315,Malware,Government,Brazil,2018-12-09,Medium,1827979,826
316,Zero-day Exploit,Government,China,2018-05-26,Medium,392173,527
317,Phishing,Healthcare,France,2020-09-17,Low,2366534,388
318,Man-in-the-Middle,Energy,Russia,2020-10-10,Critical,3824590,470
319,SQL Injection,Finance,Germany,2020-02-22,Low,1772195,505
320,Privilege Escalation,Telecommunications,Russia,2017-01-26,Critical,331152,387
321,Cross-site Scripting (XSS),Retail,USA,2019-09-18,High,2440332,137
322,Man-in-the-Middle,E-commerce,Japan,2018-01-17,Medium,1727788,896
323,Zero-day Exploit,Defense,South Korea,2021-05-12,Low,1901141,810
324,Phishing,Energy,South Korea,2015-06-05,Critical,3330682,811
325,Privilege Escalation,E-commerce,India,2015-02-08,Critical,3182935,720
326,Cross-site Scripting (XSS),Technology,UK,2023-08-22,High,1125380,184
327,DDoS,Defense,Brazil,2024-10-27,High,4732494,416
328,Zero-day Exploit,Education,South Korea,2022-05-13,High,3172521,985
329,Brute Force Attack,Energy,Japan,2021-12-29,Low,1824768,391
330,Phishing,Finance,USA,2017-05-11,Low,4631651,415
331,SQL Injection,Defense,France,2023-06-05,Critical,3086024,35
332,Privilege Escalation,Telecommunications,France,2021-06-15,Low,1270985,920
333,Brute Force Attack,Telecommunications,Germany,2018-08-09,High,4353183,371
334,Malware,Education,India,2020-10-29,Critical,4787632,257
335,Brute Force Attack,Retail,UK,2016-11-08,Medium,2766636,408
336,Cross-site Scripting (XSS),Finance,Russia,2015-07-30,High,3133314,535
337,Man-in-the-Middle,E-commerce,Brazil,2022-07-16,Medium,639186,143
338,Brute Force Attack,Education,Russia,2020-12-15,Critical,1962369,667
339,Phishing,Government,France,2024-01-01,High,2385842,983
340,SQL Injection,Healthcare,South Korea,2019-12-01,Critical,4141263,355
341,Phishing,Energy,India,2018-12-06,Medium,3285200,692
342,SQL Injection,Finance,Russia,2022-10-31,High,963631,51
343,Brute Force Attack,Government,Japan,2018-09-20,Medium,2854775,952
344,Malware,Healthcare,Russia,2016-07-26,High,1665492,616
345,Privilege Escalation,E-commerce,South Korea,2019-03-03,High,723654,771
346,Malware,E-commerce,China,2016-12-07,Medium,2973812,606
347,DDoS,Retail,China,2022-07-09,Critical,1542992,654
348,Ransomware,Energy,South Korea,2019-06-16,Critical,1930960,952
349,DDoS,Retail,France,2015-07-24,Low,4668367,781
350,Zero-day Exploit,Finance,UK,2020-02-18,Medium,1972568,299
351,Ransomware,Healthcare,USA,2020-04-05,Low,4769910,100
352,Privilege Escalation,Government,Russia,2024-03-29,Medium,3476237,416
353,Cross-site Scripting (XSS),Defense,China,2023-04-09,Medium,1911132,920
354,Phishing,Technology,Germany,2017-05-23,Critical,4001234,173
355,Man-in-the-Middle,Healthcare,China,2024-09-26,Medium,4157540,926
356,Privilege Escalation,Defense,UK,2022-03-02,Low,2012371,772
357,Privilege Escalation,Healthcare,Russia,2015-01-24,High,2162640,824
358,Brute Force Attack,Technology,India,2024-09-18,Low,4655382,714
359,Privilege Escalation,Government,South Korea,2020-03-26,Low,3076036,280
360,Phishing,Finance,China,2015-08-04,High,4301623,481
361,Phishing,Finance,Germany,2017-03-15,Low,479440,398
362,Phishing,Finance,Russia,2021-09-30,Medium,2310574,92
363,Ransomware,Government,China,2016-10-01,Medium,3584429,705
364,Privilege Escalation,Healthcare,France,2017-01-21,Low,3908779,372
365,Man-in-the-Middle,Energy,China,2016-03-30,Medium,3485061,725
366,Cross-site Scripting (XSS),Government,South Korea,2024-11-03,Medium,4318592,720
367,Cross-site Scripting (XSS),Energy,UK,2024-03-15,Critical,2398966,580
368,DDoS,Retail,China,2018-12-06,Low,1122664,118
369,DDoS,Defense,Brazil,2016-06-03,Critical,4728766,109
370,Ransomware,Healthcare,Germany,2023-12-24,High,4186625,445
371,Phishing,Technology,Japan,2020-12-11,Critical,2207034,74
372,SQL Injection,Telecommunications,China,2015-12-13,High,4208874,875
373,Phishing,Telecommunications,India,2015-07-27,Low,2547819,871
374,Ransomware,Healthcare,Germany,2017-01-12,Medium,2610926,909
375,SQL Injection,Education,Germany,2021-10-14,Low,3710891,389
376,DDoS,Finance,USA,2015-01-06,High,3400886,377
377,Ransomware,E-commerce,UK,2017-08-08,High,709264,50
378,Cross-site Scripting (XSS),E-commerce,UK,2019-11-03,Critical,4221293,877
379,Brute Force Attack,Healthcare,Russia,2022-05-26,Medium,4003445,285
380,Cross-site Scripting (XSS),Defense,China,2018-04-18,Critical,4509434,200
381,Man-in-the-Middle,Energy,Germany,2018-07-09,Critical,994541,801
382,Phishing,Technology,China,2015-08-21,High,4325232,32
383,Man-in-the-Middle,Energy,China,2016-11-16,Medium,3008282,487
384,Man-in-the-Middle,E-commerce,Brazil,2024-12-10,Low,2487759,13
385,Brute Force Attack,Finance,Russia,2018-04-10,High,1727878,524
386,Zero-day Exploit,Defense,UK,2023-04-17,High,2758918,94
387,Brute Force Attack,Defense,Germany,2022-05-17,Low,4970038,12
388,SQL Injection,Energy,South Korea,2024-12-18,Low,682449,678
389,SQL Injection,Finance,China,2023-04-06,Medium,1726680,415
390,Ransomware,Telecommunications,Russia,2015-08-26,Low,1404954,947
391,Ransomware,Government,Russia,2020-06-23,Critical,1488591,987
392,Phishing,Education,USA,2023-05-25,Critical,1599298,340
393,Phishing,Finance,China,2015-04-03,Medium,83783,167
394,Phishing,Telecommunications,Japan,2022-01-26,Critical,1264673,995
395,Zero-day Exploit,Healthcare,UK,2023-09-17,Critical,1122534,520
396,Man-in-the-Middle,Education,France,2018-10-15,Critical,4733206,948
397,Cross-site Scripting (XSS),Government,France,2017-03-06,Low,1150260,139
398,SQL Injection,Education,India,2017-01-25,High,1139061,241
399,Malware,Telecommunications,Germany,2016-01-25,Critical,4216973,837
400,Malware,Finance,France,2022-07-07,Low,3332860,854
401,DDoS,E-commerce,Germany,2016-08-08,Medium,2005741,763
402,Privilege Escalation,Retail,India,2018-02-23,Medium,2337091,984
403,Ransomware,Government,Germany,2021-06-07,High,178257,185
404,Brute Force Attack,Retail,India,2018-08-17,Low,3106259,534
405,Ransomware,Government,Russia,2023-04-10,Low,2508432,808
406,SQL Injection,Technology,South Korea,2024-11-10,Low,4638997,819
407,Phishing,Education,USA,2016-04-26,Critical,2762923,851
408,Cross-site Scripting (XSS),Defense,Japan,2017-04-28,High,2759328,736
409,Privilege Escalation,Government,USA,2022-07-05,High,2899147,944
410,Malware,Finance,Russia,2019-06-28,Critical,4693855,81
411,Phishing,Healthcare,Brazil,2017-06-17,Low,394840,878
